site_no,site_name,record_years,drainage_area_sqmi,historical_max_screening_return_period_years,historical_max_peak_cfs,historical_max_cfs_per_sqmi,historical_max_flood_class,frequency_method,stationarity_warning,distinct_matched_rainfall_flood_event_count,max_matched_event_return_period_years,max_matched_peak_cfs,max_matched_peak_cfs_per_sqmi,median_rainfall_to_flood_lag_hours,distinct_major_rainfall_flood_event_count
03584600,,102,1805.0,117.68785506373816,117000.0,64.81994459833795,100–200-year,station-skew LP3 screening,False,14,62.94772553280575,103000.0,57.06371191135734,20.75,2
03585269,,3,125.0,4.0,3580.0,28.64,2–5-year,empirical only,False,0,,,,,0
03585300,,12,152.0,13.0,35000.0,230.26315789473685,10–25-year,empirical only,False,0,,,,,0
03585380,,7,5.92,8.0,1480.0,250.0,5–10-year,empirical only,True,0,,,,,0
03585500,,8,2239.0,9.0,61600.0,27.51228226887003,5–10-year,empirical only,False,0,,,,,0
03586500,,79,166.0,757.6579531892955,26500.0,159.63855421686748,>500-year,station-skew LP3 screening,False,12,230.66146838136763,22000.0,132.53012048192772,6.375,1
03587000,,2,188.0,3.0,4500.0,23.93617021276596,2–5-year,empirical only,False,0,,,,,0
03587200,,28,0.49,53.595063835353095,369.0,753.0612244897959,50–100-year,station-skew LP3 screening,False,3,13.573958338541845,277.0,565.3061224489796,-53.0,1
03588500,,94,348.0,692.617666965924,132000.0,379.3103448275862,>500-year,station-skew LP3 screening,False,13,21.27087641655213,53600.0,154.02298850574712,-14.0,4
03589250,,22,13.7,56.09871340185919,636.0,46.42335766423358,50–100-year,station-skew LP3 screening,True,0,,,,,0
03589260,,21,21.9,24.62059069892998,864.0,39.45205479452055,10–25-year,station-skew LP3 screening,True,0,,,,,0
03589450,,3,4.92,4.0,2820.0,573.170731707317,2–5-year,empirical only,False,1,2.0,2590.0,526.4227642276422,-12.0,0
03589500,,113,30810.0,1524.9709534463923,530000.0,17.2022070756248,>500-year,station-skew LP3 screening,False,6,68.79519346797649,440000.0,14.281077572216812,-1.5,2
03590000,,31,209.0,169.31855020364904,50000.0,239.2344497607656,100–200-year,station-skew LP3 screening,False,4,5.892722887567257,18500.0,88.51674641148325,2.25,0
03590290,,4,27.1,5.0,4860.0,179.33579335793357,5–10-year,empirical only,False,0,,,,,0
03591570,,12,26.8,13.0,4200.0,156.71641791044777,10–25-year,empirical only,True,0,,,,,0
03591800,,3,143.0,4.0,6370.0,44.54545454545455,2–5-year,empirical only,False,0,,,,,0
03592000,,36,263.0,94.23516615593512,34800.0,132.319391634981,50–100-year,station-skew LP3 screening,False,2,2.1649021188154367,4750.0,18.06083650190114,19.5,0
03592200,,23,189.0,71.2712806282648,27000.0,142.85714285714286,50–100-year,station-skew LP3 screening,False,0,,,,,0
03592300,,22,78.2,88.46566446388925,20400.0,260.8695652173913,50–100-year,station-skew LP3 screening,False,0,,,,,0
03592500,,61,667.0,121.81460787250307,60800.0,91.1544227886057,100–200-year,station-skew LP3 screening,False,2,3.63024495921908,20700.0,31.03448275862069,-2.125,0
