huc12,duration_hours,is_monotonic,minimum_mm,maximum_mm,threshold_count
031300030602,72,True,112.72269285331694,419.4321350162142,10
031300030605,1,True,38.813747953064166,117.63561235216063,10
031300030605,3,True,53.77100981611649,173.59775629196685,10
031300030605,6,True,63.99584411575876,223.8259369762527,10
031300030605,24,True,88.61755562075496,341.82288529120945,10
031300030605,72,True,112.93121352808357,419.5115945645877,10
031300030606,1,True,39.277039582133455,119.76490048429008,10
031300030606,3,True,54.33159614949468,177.58818638861305,10
031300030606,6,True,64.47800646615245,230.31998583921848,10
031300030606,24,True,88.94591537187112,354.3742534936082,10
031300030606,72,True,113.18385477760056,431.94815293214316,10
031300030801,1,True,38.477973719081334,113.52159514668996,10
031300030801,3,True,53.46330532910056,166.7617715267947,10
031300030801,6,True,64.06664044726936,214.896676504832,10
031300030801,24,True,89.35778335431547,330.6679941886593,10
031300030801,72,True,114.8600692876689,413.1869248986297,10
031300030802,1,True,38.74121855538349,116.41515629319879,10
031300030802,3,True,53.660119829521825,172.03578028007607,10
031300030802,6,True,63.96848424441531,222.4277245017482,10
031300030802,24,True,88.7671630040164,341.6348474237207,10
031300030802,72,True,113.50804164982078,421.3779969610674,10
031300030803,1,True,38.82466649847495,116.28689254118369,10
031300030803,3,True,53.74120683654583,172.32639915225334,10
031300030803,6,True,64.12235227082283,223.5469539593392,10
031300030803,24,True,89.10349752385963,345.28314552367766,10
031300030803,72,True,114.15441226493996,426.79023192968714,10
031300030804,1,True,39.267495738271116,119.93198898941374,10
031300030804,3,True,54.23618345504231,179.13067316536538,10
031300030804,6,True,64.4458585951936,233.57686027653492,10
031300030804,24,True,89.18203726436465,361.2984456448475,10
031300030804,72,True,113.82914687748614,441.76881900356267,10
031300030903,1,True,39.64424841207076,122.13038578127035,10
031300030903,3,True,54.67396865213136,183.1328706765621,10
031300030903,6,True,64.87566498973521,239.82057162983486,10
031300030903,24,True,89.70392992194529,372.90980425406434,10
031300030903,72,True,114.46768709010901,454.02893989952565,10
031300030904,1,True,39.63771074684636,122.43290448372046,10
031300030904,3,True,54.593622595889414,184.61325894758076,10
031300030904,6,True,64.90777906075692,242.4625842018749,10
031300030904,24,True,90.17358705673333,377.7032426672955,10
031300030904,72,True,115.31867118384129,461.45235578645406,10
031300030905,1,True,40.164308581322025,125.47836643581469,10
031300030905,3,True,55.28324524602379,189.37094124467657,10
031300030905,6,True,65.6042632888997,249.4173335273584,10
031300030905,24,True,90.88192829442195,390.4472427223027,10
031300030905,72,True,116.178696313155,474.7435941625581,10
031300031001,1,True,39.54845017043558,116.74611530401091,10
031300031001,3,True,54.60799330065578,175.75617880561393,10
031300031001,6,True,65.44735353879103,230.69462715884168,10
031300031001,24,True,91.77794516349887,361.79595139978824,10
031300031001,72,True,117.95306446574672,451.0264925413723,10
031300031002,1,True,39.08108202003312,115.0803409178052,10
031300031002,3,True,54.123234619760375,172.3067714040783,10
031300031002,6,True,65.03382597453782,224.47359293680162,10
031300031002,24,True,91.39003326100332,348.08151962460227,10
031300031002,72,True,117.53431346868999,437.1418714056981,10
031300031003,1,True,39.60116288898833,119.56202424849336,10
031300031003,3,True,54.569008441525995,180.0782854412294,10
031300031003,6,True,65.10478174889856,236.9340667887631,10
031300031003,24,True,90.82198123100373,372.1791742808226,10
031300031003,72,True,116.51182577842995,458.6582621090308,10
031300031101,1,True,38.94240212038264,114.81887652208289,10
031300031101,3,True,53.96370472412334,170.550192042963,10
031300031101,6,True,64.67236888777104,221.75150231889594,10
031300031101,24,True,90.37946517478413,344.687766324825,10
031300031101,72,True,116.16595291127359,430.60403035077826,10
031300031102,1,True,38.77857382882101,114.55289483251424,10
031300031102,3,True,53.786918616475795,169.54557610855755,10
031300031102,6,True,64.43547210016575,219.78316824403828,10
031300031102,24,True,89.92659436306987,340.3080379074179,10
031300031102,72,True,115.56307855757433,424.84822236109784,10
031300031103,1,True,39.40445441870865,120.07174839369667,10
031300031103,3,True,54.32044021456556,180.49125924931712,10
031300031103,6,True,64.71086677858254,236.67174537416065,10
031300031103,24,True,90.06235794786502,369.003191578476,10
031300031103,72,True,115.35877709749016,453.325358383657,10
031300031201,1,True,40.65217476917173,121.45054745316875,10
031300031201,3,True,55.93619979779137,186.8208703094292,10
031300031201,6,True,66.83272595934513,249.46685057886947,10
031300031201,24,True,93.57398683142772,397.32340231381875,10
031300031201,72,True,120.11144166239788,489.8316580444251,10
031300031202,1,True,40.181194519908075,119.20840783217403,10
031300031202,3,True,55.333068471945914,181.33939704701064,10
031300031202,6,True,66.17522913126408,240.310477037549,10
031300031202,24,True,92.69838284304124,380.8705139079214,10
031300031202,72,True,119.06007972581774,471.70323159890177,10
031300031203,1,True,40.1776888277215,120.55862063566185,10
031300031203,3,True,55.31020715979604,183.2042494292778,10
031300031203,6,True,66.0394454359798,243.09555069248842,10
031300031203,24,True,92.30965889259313,386.20893727444013,10
031300031203,72,True,118.51395379033542,476.1203247552691,10
031300031204,1,True,39.98795314091109,123.27203359913243,10
031300031204,3,True,54.97933722210677,187.62119401284087,10
