nhdplus_comid,site_no
18533208,02468000
18533226,02468000
18533250,02468000
18533348,02468000
18533362,02468000
18533366,02468000
18533380,02468000
18540820,02467000
18540822,02467000
18540824,02467000
18540826,02467000
18540828,02467000
18540840,02467000
18540844,02467000
18540846,02467000
18542398,02468500
18542404,02468500
18542420,02468500
18542444,02468500
18542456,02468500
18542472,02468500
18542478,02468500
18542480,02468500
18542492,02468500
18542504,02468500
18542514,02468500
18542556,02468500
18542576,02468500
18542584,02468500
18542586,02468500
18542594,02468500
18543526,02469550
18543534,02469550
18543536,02469550
18543538,02469550
18543548,02469550
18543550,02469550
18543568,02469550
18543576,02469550
18543604,02469550
18543672,02469550
18543836,02468500
18543920,02469550
18543928,02467000
18543934,02467000
18543936,02467000
18544478,02469000
18544520,02469000
18544546,02469000
18544548,02469000
18544602,02469000
18544610,02469000
18544616,02469000
18544626,02469000
18544640,02469000
18544670,02469000
18544714,02469000
18544718,02469000
18544728,02469000
18544778,02469000
18544854,02469000
18545814,02469672
18545832,02469672
18545840,02469672
18545890,02469672
18545926,02469672
18545972,02469672
18546006,02469672
18546092,02469672
18546120,02469672
18546196,02469672
18546234,02469672
18546412,02469000
18546416,02469000
18546420,02469000
18547718,02469700
18547736,02469700
18547754,02469700
18547756,02469700
18547760,02469700
18547776,02469700
18547786,02469700
18547808,02469700
18547826,02469700
18547890,02469700
18547920,02469700
18548334,02469700
18548474,02469761
18548474,02469766
18548484,02469761
18548484,02469766
18548500,02469761
18548500,02469766
18548510,02469761
18548510,02469766
18548512,02469761
18548512,02469766
18548516,02469761
18548516,02469766
18562605,02454500
18562667,02454500
18562703,02454500
18562711,02454500
18562713,02454500
18562719,02454500
18562739,02454500
18562751,02454500
18562761,02454500
18562783,02454500
18562785,02454500
18562823,02454500
18562889,02454500
18563173,02455000
18563231,02455000
18563333,02455000
18563343,02455000
18563357,02455000
18563373,02455000
18563403,02455000
18563449,02454500
18563487,02455000
18564589,02455000
18564605,02455000
18564617,02455000
18565027,02455185
18565055,02455185
18565155,02455185
18565157,02455185
18565189,02455185
18565245,02455500
18565253,02455500
18565277,02455500
18565397,02455500
18565397,02455900
18565407,02455900
18565417,02455900
18565449,02455900
18565485,02455900
18565485,02456000
18565493,02455900
18565501,02455900
18565501,02456000
18565557,02456330
18565565,02456000
18565587,02456000
18565595,02456000
18565603,02456000
18565607,02456000
18565621,02456000
18565623,02456000
18565629,02456000
18565635,02455980
18565645,02456330
18565649,02455980
18565649,02456000
18565667,02455980
18565669,02456330
18565683,02456330
18565715,02456500
18565735,02455980
18565741,02456330
18565743,02455980
18565749,02455980
18565751,02455980
18565755,02456330
18565759,02455980
18565773,02456330
18565803,02455980
18565837,02455980
18565853,02456330
18565921,02457670
18565921,02457700
18565949,02457670
18565951,02457670
18565953,02457670
18565961,02457670
18565981,02457000
18566011,02457000
18566013,02457595
18566013,02457670
18566017,02457000
18566021,02457595
18566029,02457595
18566031,02457000
18566037,02457000
18566045,02457000
18566051,02457595
18566053,02457595
18566059,02457595
18566063,02457000
18566067,02457000
18566069,02457595
18566081,02457595
18566089,02457595
18566093,02457000
18566093,02457595
18566095,02457000
18566095,02457595
18566097,02457000
18566097,02457595
18566105,02457000
18566105,02457595
18566113,02458148
18566125,02458600
18566131,02458600
18566133,02458600
18566151,02458148
18566171,02458450
18566171,02458502
18566171,02458600
18566179,02458450
18566179,02458502
18566179,02458600
18566183,02458450
18566183,02458502
18566183,02458600
18566191,02458450
18566191,02458502
18566191,02458600
18566197,02458148
18566197,02458190
18566197,02458200
18566197,02458300
18566197,02458450
18566197,02458502
18566197,02458600
18566201,02458200
18566201,02458300
18566201,02458450
18566201,02458502
18566201,02458600
18566277,02455500
18566277,02455900
18566299,02456330
18566301,02456330
18566313,02456000
18566315,02456000
18566317,02456500
18566327,02457000
18566329,02457000
18566333,02458148
18566333,02458200
18566333,02458300
18566335,02458190
18566337,02456330
18566389,02455185
18566393,02455185
18566395,02455185
18566399,02455185
18566403,02455185
18566413,02455185
18566417,02455185
18566421,02455185
18566425,02455185
18566427,02455185
18566435,02455185
18566443,02455185
18566549,02458600
18566551,02458600
18566553,02458450
18566553,02458502
18566553,02458600
18567267,02456500
18567271,02456500
18567281,02456500
18567329,02458600
18567389,02460500
18578617,02450250
18578635,02450250
18578675,02450250
18578681,02450250
18578689,02450250
18578705,02450250
18578755,02450250
18578815,02450250
18578829,02450250
18578867,02450250
18578959,02450250
18578989,02450250
18579499,02450825
18579537,02450825
18579585,02450825
18579625,02450825
18579635,02450825
18579639,02450825
18579727,02450825
18579763,02450825
18579769,02450825
18579809,02450825
18579837,02450825
18579877,02450825
18579905,02450825
18579909,02451000
18579913,02451000
18579925,02450825
18579927,02450825
18579931,02451000
18579933,02450825
18579959,02450825
18579969,02451000
18579973,02450825
18579981,02450825
18580009,02450825
18580015,02450825
18580153,02450250
18580373,02451500
