Station ID,State,Station name,Latitude,Longitude,Post-merge station ID,Co-located station ID,Base duration,Source of data,Period of record,Elevation (ft)
01-4627,AL,LEESBURG,34.1833,-85.7667,01-8755,,1-day,NCDC,1/1900-10/1981,591
01-4798,AL,LIVINGSTON,32.5811,-88.1897,,,1-day,NCDC,11/1891-10/2011,128
01-4845,AL,LINCOLN LOCK 4,33.6333,-86.1833,,,1-day,NCDC,12/1896-8/1949,512
01-4855,AL,BANKHEAD L&D,33.45,-87.35,01-0505,,1-day,NCDC,8/1930-1/1957,280
01-4976,AL,MADISON,34.7,-86.75,,,1-day,NCDC,2/1894-12/1974,581
01-4996,AL,MAGELLA,33.5,-86.85,01-0829,,1-day,NCDC,1/1937-1/1977,650
01-5108,AL,MARION 1 N,32.6333,-87.3,01-5112,,1-day,NCDC,12/1893-11/1967,210
01-5112,AL,MARION 7 NE,32.7028,-87.2681,,,1-day; 1-hour; 15-min,NCDC,12/1893-11/2004; 11/1967-12/2004; 12/1971-12/2004,172
01-5116,AL,MARION JUNCTION 2 E,32.45,-87.1833,,,1-day,NCDC,10/1938-10/2011,202
01-5121,AL,MARION JUNCTION 2 NE,32.4714,-87.2306,,,1-day,NCDC,2/1950-7/2011,200
01-5140,AL,MARTIN DAM,32.6667,-85.9167,01-8653,,1-day,NCDC,1/1925-9/1992,340
01-5172,AL,MATHEWS,32.2603,-86.0003,,,1-day,NCDC,8/1956-10/2011,190
01-5354,AL,MELVIN,31.9306,-88.4586,,,1-day,NCDC,1/1940-10/2011,350
01-5397,AL,MIDWAY,32.0597,-85.4953,,,1-hour; 15-min,NCDC,6/1948-12/2010; 5/1971-12/2010,498
01-5417,AL,MILLERS FERRY,32.1,-87.3667,01-5420,,1-day,NCDC,11/1930-10/1967,79
01-5420,AL,MILLERS FERRY L&D,32.1,-87.3981,,,1-day,NCDC,11/1930-10/2011,115
01-5439,AL,MILSTEAD,32.4419,-85.8889,,,1-day,NCDC,9/1902-10/2011,215
01-5465,AL,MITCHELL DAM,32.8,-86.45,,,1-day,NCDC,1/1937-10/2011,350
01-5478,AL,MOBILE RGNL AP,30.6883,-88.2456,,,1-day; 1-hour,NCDC,3/1900-8/2010; 7/1948-12/2010,215
01-5483,AL,MOBILE,30.6833,-88.0333,,,1-day,NCDC,1/1871-12/1965,10
01-5537,AL,MONTEVALLO,33.0981,-86.8667,,,1-day,NCDC,12/1893-10/2011,410
01-5550,AL,MONTGOMERY AP ASOS,32.2997,-86.4075,,,1-day; 1-hour,NCDC,1/1948-10/2010; 7/1948-12/2010,202
01-5553,AL,MONTGOMERY 6SW,32.26,-86.2181,,,1-day,NCDC,12/1921-10/2011,225
01-5555,AL,MONTGOMERY WB CITY,32.3833,-86.3,,,1-day,NCDC,9/1872-9/1954,256
01-5625,AL,MOULTON,34.4667,-87.3,01-5635,01-5635,1-day; 1-hour,NCDC,7/1927-3/1962; 7/1948-8/1977,630
01-5635,AL,MOULTON 2,34.4883,-87.2989,,,1-day,NCDC,7/1927-10/2011,622
01-5685,AL,MOUNT VERNON BARRACKS,31.0881,-88.0258,,,1-day,NCDC,10/1840-2/1892,172
01-5749,AL,MUSCLE SHOALS AP,34.7442,-87.5997,,,1-day,NCDC,12/1890-10/2010,540
01-5785,AL,NATCHEZ,31.7167,-87.2667,01-0616,,1-day,NCDC,3/1951-6/1967,180
01-5862,AL,NEW MARKET,34.9,-86.4333,01-5867,,1-day,NCDC,2/1943-3/1962,761
01-5867,AL,NEW MARKET 2,34.9167,-86.45,,,1-day,NCDC,2/1943-2/1977,732
01-5875,AL,NEWTON,31.3458,-85.6228,,,1-day,NCDC,12/1891-4/1981,139
01-6121,AL,ONEONTA,33.9478,-86.4692,,,1-day,NCDC,8/1894-10/2011,892
01-6129,AL,OPELIKA,32.6592,-85.4492,,,1-day,NCDC,3/1957-10/2011,640
01-6218,AL,OZARK 6 NNW,31.5333,-85.6833,,,1-day,NCDC,5/1902-3/1986,470
01-6226,AL,PAINT ROCK 2 N,34.7,-86.3333,,,1-day; 1-hour,NCDC,11/1935-12/1980; 7/1948-12/1980,640
01-6246,AL,PALMERDALE,33.745,-86.6417,,,1-day,NCDC,6/1948-10/2011,722
01-6334,AL,PENNINGTON 2 NE,32.2258,-88.0281,,,1-day,NCDC,1/1932-6/1998,85
01-6362,AL,PERRYVILLE,32.6567,-87.0928,,,1-day,NCDC,1/1940-10/2004,272
01-6370,AL,PETERMAN,31.5883,-87.2681,,,1-hour; 15-min,NCDC,6/1948-12/2010; 6/1974-12/2010,240
01-6414,AL,PICKENSVILLE,33.2167,-88.25,01-0184,,1-day,NCDC,2/1940-4/1977,171
01-6418,AL,PICKENSVILLE,33.2333,-88.2833,01-0184,,1-day,NCDC,7/1977-4/1980,180
01-6436,AL,PINE APPLE,31.8817,-86.9861,,,1-day,NCDC,10/1967-10/2011,265
01-6468,AL,PINE LEVEL 4 ESE,32.0333,-85.9833,,,1-day,NCDC,5/1941-6/1989,480
01-6478,AL,PINSON,33.6906,-86.6847,,,1-day,NCDC,2/1951-10/2011,608
01-6508,AL,PLANTERSVILLE 2 SSE,32.6131,-86.9056,,,1-day,NCDC,1/1940-10/2011,230
01-6640,AL,PRATTVILLE,32.4833,-86.4833,,,1-day,NCDC,2/1902-9/1977,302
01-6684,AL,PRIMROSE FARM,32.3,-86.25,01-5553,,1-day,NCDC,12/1921-12/1966,180
01-6719,AL,PUSHMATAHA,32.2,-88.35,,,1-day,NCDC,11/1891-12/1964,259
01-6847,AL,REFORM,33.3753,-88.02,,,1-day,NCDC,3/1938-7/2011,238
01-6937,AL,RIVER FALLS,31.35,-86.5333,,,1-day,NCDC,11/1928-12/1980,180
