catalog_event_id,matched_flood_report_count,matched_flash_flood_count,matched_property_damage_usd,matched_crop_damage_usd,matched_direct_deaths,matched_direct_injuries
AL-RF-20051114-0195,0,0,0.0,0.0,0.0,0.0
AL-RF-20051121-0196,0,0,0.0,0.0,0.0,0.0
AL-RF-20060321-0197,1,1,0.0,0.0,0.0,0.0
AL-RF-20060511-0198,9,9,0.0,0.0,0.0,0.0
AL-RF-20060730-0199,2,2,10000.0,0.0,0.0,0.0
AL-RF-20060831-0200,0,0,0.0,0.0,0.0,0.0
AL-RF-20060913-0201,0,0,0.0,0.0,0.0,0.0
AL-RF-20060924-0202,0,0,0.0,0.0,0.0,0.0
AL-RF-20061017-0203,3,0,130000.0,0.0,0.0,1.0
AL-RF-20061019-0204,0,0,0.0,0.0,0.0,0.0
AL-RF-20061115-0205,13,13,5000.0,0.0,0.0,0.0
AL-RF-20061222-0206,0,0,0.0,0.0,0.0,0.0
AL-RF-20070402-0207,3,3,0.0,0.0,0.0,0.0
AL-RF-20070414-0208,2,2,0.0,0.0,0.0,0.0
AL-RF-20070701-0209,1,1,200000.0,0.0,0.0,0.0
AL-RF-20070825-0210,3,0,0.0,0.0,0.0,0.0
AL-RF-20070914-0211,2,0,0.0,0.0,0.0,0.0
AL-RF-20071019-0212,6,6,100000.0,0.0,0.0,0.0
AL-RF-20071023-0213,5,5,0.0,0.0,0.0,0.0
AL-RF-20071126-0214,0,0,0.0,0.0,0.0,0.0
AL-RF-20071216-0215,3,0,0.0,0.0,0.0,1.0
AL-RF-20080111-0216,2,1,5000.0,0.0,0.0,0.0
AL-RF-20080405-0217,3,3,26000.0,0.0,0.0,0.0
AL-RF-20080419-0218,1,1,0.0,0.0,0.0,0.0
AL-RF-20080511-0219,0,0,0.0,0.0,0.0,0.0
AL-RF-20080515-0220,2,2,10000.0,0.0,0.0,0.0
AL-RF-20080527-0221,18,13,50500.0,0.0,1.0,0.0
AL-RF-20080710-0222,4,4,0.0,0.0,0.0,0.0
AL-RF-20080731-0223,1,1,0.0,0.0,0.0,0.0
AL-RF-20080813-0224,0,0,0.0,0.0,0.0,0.0
AL-RF-20080826-0225,5,5,22000.0,0.0,0.0,0.0
AL-RF-20081008-0226,5,2,5000.0,0.0,0.0,0.0
AL-RF-20081210-0227,22,15,175000.0,0.0,0.0,0.0
AL-RF-20090107-0228,28,20,1725000.0,0.0,2.0,1.0
AL-RF-20090228-0229,7,7,5000.0,0.0,0.0,0.0
AL-RF-20090315-0230,0,0,0.0,0.0,0.0,0.0
AL-RF-20090328-0231,21,14,550000.0,0.0,0.0,0.0
AL-RF-20090413-0232,1,1,50000.0,0.0,0.0,0.0
AL-RF-20090414-0233,1,1,50000.0,0.0,0.0,0.0
AL-RF-20090504-0234,27,21,7543000.0,0.0,1.0,0.0
AL-RF-20090525-0235,7,7,10500.0,0.0,0.0,0.0
AL-RF-20090604-0236,4,4,0.0,0.0,0.0,0.0
AL-RF-20090705-0237,2,1,0.0,0.0,0.0,0.0
AL-RF-20090713-0238,3,3,10000.0,0.0,0.0,0.0
AL-RF-20090729-0239,0,0,0.0,0.0,0.0,0.0
AL-RF-20090817-0240,1,1,0.0,0.0,0.0,0.0
AL-RF-20090821-0241,8,8,0.0,0.0,0.0,0.0
AL-RF-20090918-0242,45,42,1250000.0,0.0,0.0,0.0
AL-RF-20090922-0243,54,49,1613000.0,0.0,0.0,0.0
AL-RF-20090926-0244,8,5,12000.0,0.0,0.0,0.0
AL-RF-20091007-0245,0,0,0.0,0.0,0.0,0.0
AL-RF-20091012-0246,4,4,25000.0,0.0,0.0,0.0
AL-RF-20091023-0247,1,0,0.0,0.0,0.0,0.0
AL-RF-20091111-0248,7,1,15000.0,0.0,0.0,0.0
AL-RF-20091209-0249,18,14,1700000.0,0.0,0.0,0.0
AL-RF-20091215-0250,32,25,2332000.0,0.0,0.0,0.0
AL-RF-20100121-0251,10,9,0.0,0.0,0.0,0.0
AL-RF-20100124-0252,5,5,40000.0,0.0,0.0,0.0
AL-RF-20100205-0253,4,1,18000.0,0.0,0.0,0.0
AL-RF-20100311-0254,6,3,1075000.0,0.0,0.0,0.0
AL-RF-20100425-0255,6,6,25000.0,0.0,0.0,0.0
AL-RF-20100501-0256,37,32,1156000.0,0.0,0.0,0.0
AL-RF-20100502-0257,37,32,1156000.0,0.0,0.0,0.0
AL-RF-20100726-0258,4,3,100000.0,0.0,0.0,0.0
AL-RF-20100814-0259,3,1,20000.0,0.0,0.0,0.0
AL-RF-20100817-0260,6,3,308000.0,0.0,0.0,0.0
AL-RF-20101025-0261,0,0,0.0,0.0,0.0,0.0
AL-RF-20101027-0262,0,0,0.0,0.0,0.0,0.0
AL-RF-20101115-0263,0,0,0.0,0.0,0.0,0.0
AL-RF-20101130-0264,6,6,50000.0,0.0,0.0,0.0
AL-RF-20101212-0265,0,0,0.0,0.0,0.0,0.0
AL-RF-20120121-0266,5,4,230500.0,0.0,0.0,0.0
AL-RF-20120123-0267,8,6,230500.0,0.0,0.0,0.0
AL-RF-20120219-0268,1,0,0.0,0.0,0.0,0.0
AL-RF-20120303-0269,1,0,0.0,0.0,0.0,0.0
AL-RF-20120323-0270,8,5,0.0,0.0,0.0,0.0
AL-RF-20120502-0271,4,4,0.0,0.0,0.0,0.0
AL-RF-20120513-0272,0,0,0.0,0.0,0.0,0.0
AL-RF-20120609-0273,9,6,5000.0,0.0,0.0,0.0
AL-RF-20120713-0274,0,0,0.0,0.0,0.0,0.0
AL-RF-20120721-0275,0,0,0.0,0.0,0.0,0.0
AL-RF-20120731-0276,17,13,20000.0,0.0,0.0,0.0
