huc12,flood_report_count,flash_flood_report_count,property_damage_usd,crop_damage_usd,direct_deaths,direct_injuries
031502030203,1,1,0.0,0.0,0,0
031502030205,1,0,15000.0,0.0,0,0
031502030207,1,0,0.0,0.0,0,0
031502030208,1,1,0.0,0.0,0,0
031502030303,1,1,8000.0,0.0,0,0
031502030403,1,1,0.0,0.0,0,0
031502030406,1,1,0.0,0.0,0,0
031502030505,2,2,10000.0,0.0,0,0
031502030603,1,1,0.0,0.0,0,0
031502030604,1,1,0.0,0.0,0,0
031502030605,3,3,110000.0,0.0,0,0
031502030703,1,1,0.0,0.0,0,0
031502030804,1,1,0.0,0.0,0,0
031502030805,1,0,0.0,0.0,0,0
031502040101,1,1,0.0,0.0,0,0
031502040205,1,0,275000.0,0.0,0,0
031502040302,1,1,50000.0,0.0,0,0
031502040303,2,1,75000.0,0.0,0,0
031502040304,5,5,25000.0,0.0,0,0
031502040403,1,1,0.0,0.0,0,0
031502040404,1,1,0.0,0.0,0,0
031502040405,1,1,0.0,0.0,0,0
031502040502,2,2,0.0,0.0,0,0
031502040503,1,1,0.0,0.0,0,0
031601010501,1,0,0.0,0.0,0,0
031601010502,1,0,0.0,0.0,0,0
031601010503,2,2,0.0,0.0,0,0
031601030101,1,1,0.0,0.0,0,0
031601030104,1,1,0.0,0.0,0,0
031601030201,1,1,0.0,0.0,0,0
031601030202,3,3,5000.0,0.0,0,0
031601030301,1,0,0.0,0.0,0,0
031601030302,2,1,5000.0,0.0,0,0
031601030303,1,1,0.0,0.0,0,0
031601030305,5,5,11000.0,0.0,0,0
031601030306,6,6,110000.0,0.0,0,0
031601030401,3,3,60000.0,0.0,0,0
031601030402,2,2,0.0,0.0,0,0
031601030503,3,2,0.0,0.0,0,0
031601050201,1,1,0.0,0.0,0,0
031601050202,1,1,0.0,0.0,0,0
031601050203,1,1,0.0,0.0,0,0
031601050204,2,2,0.0,0.0,0,0
031601050304,10,9,107000.0,0.0,0,0
031601050401,3,3,60000.0,0.0,0,0
031601050402,4,4,20000.0,0.0,0,0
031601050404,6,4,7000.0,0.0,0,0
031601060201,1,1,0.0,0.0,0,0
031601060402,1,1,0.0,0.0,0,0
031601060405,1,1,0.0,0.0,0,0
031601060502,2,2,60000.0,0.0,2,1
031601060607,1,1,15000.0,0.0,0,0
031601060703,1,1,10000.0,0.0,0,0
031601070102,1,1,0.0,0.0,0,0
031601070103,2,1,0.0,0.0,0,0
031601070105,1,1,0.0,0.0,0,0
031601070201,5,5,20000.0,0.0,0,0
031601070203,2,2,13000.0,0.0,0,0
031601070206,1,1,25000.0,0.0,0,0
031601070302,3,3,0.0,0.0,0,0
031601070303,3,3,21000.0,0.0,0,0
031601080903,2,2,10000.0,0.0,0,0
031601081005,1,1,0.0,0.0,0,0
031601090101,7,6,0.0,0.0,0,0
031601090102,1,1,0.0,0.0,0,0
031601090104,13,11,10000.0,0.0,0,0
031601090105,1,1,0.0,0.0,0,0
031601090106,10,7,10000.0,0.0,0,0
031601090107,2,0,0.0,0.0,0,0
031601090108,3,2,0.0,0.0,0,0
031601090109,7,7,0.0,0.0,0,0
031601090201,1,1,0.0,0.0,0,0
031601090202,2,2,0.0,0.0,0,0
031601090203,2,1,0.0,0.0,0,0
031601090204,2,2,0.0,0.0,0,0
031601090205,5,3,5000.0,0.0,0,0
031601090301,1,1,5000.0,0.0,0,0
031601090302,1,1,3000.0,0.0,0,0
031601090307,2,1,200000.0,0.0,0,0
031601090309,1,1,0.0,0.0,0,0
031601090403,1,0,0.0,0.0,0,0
031601090405,1,1,1000.0,0.0,0,0
031601090502,3,2,0.0,0.0,0,0
031601090601,5,5,161000.0,0.0,0,0
031601090603,1,1,0.0,0.0,0,0
031601100401,4,4,20000.0,0.0,0,0
031601100402,2,1,0.0,0.0,0,0
031601100405,9,7,0.0,0.0,0,0
031601100501,6,4,5000.0,0.0,0,0
031601100502,5,4,0.0,0.0,0,0
031601100503,2,2,0.0,0.0,0,0
031601100504,2,2,0.0,0.0,0,0
031601100507,3,3,0.0,0.0,0,0
031601110102,1,1,100000.0,0.0,0,0
031601110103,6,3,15000.0,0.0,0,0
031601110105,9,4,0.0,0.0,0,0
031601110201,2,1,0.0,0.0,0,0
031601110203,1,1,30000.0,0.0,0,0
031601110205,2,1,0.0,0.0,0,0
031601110206,4,4,200000.0,0.0,0,0
031601110208,2,2,0.0,0.0,0,0
031601110304,1,1,1000.0,0.0,0,0
031601110305,3,1,0.0,0.0,0,0
031601110306,3,2,50000.0,0.0,0,3
031601110308,5,4,0.0,0.0,0,0
031601110402,1,1,0.0,0.0,0,0
031601110405,1,1,0.0,0.0,0,0
031601110406,9,6,50000.0,0.0,0,0
031601110407,3,3,5000.0,0.0,0,0
031601110408,21,19,35000.0,0.0,0,0
031601110409,2,2,0.0,0.0,0,0
031601110410,2,1,0.0,0.0,0,0
031601110412,1,1,0.0,0.0,0,0
031601120101,22,19,446000.0,0.0,0,0
031601120102,5,3,0.0,0.0,0,0
031601120103,1,0,0.0,0.0,0,0
031601120104,4,4,0.0,0.0,1,0
031601120105,2,2,0.0,0.0,0,0
031601120201,1,1,0.0,0.0,0,0
031601120303,1,1,0.0,0.0,0,0
031601120405,2,2,0.0,0.0,0,0
031601120409,2,1,0.0,0.0,0,0
031601120411,1,1,0.0,0.0,0,0
031601120413,1,1,6000.0,0.0,0,0
031601120504,1,1,0.0,0.0,0,0
031601120505,16,11,43000.0,0.0,1,1
031601130101,1,1,1000.0,0.0,0,0
031601130104,1,1,0.0,0.0,0,0
031601130201,3,3,0.0,0.0,0,0
031601130202,5,3,3350000.0,0.0,3,0
031601130203,6,6,135000.0,0.0,1,0
031601130502,1,1,0.0,0.0,0,0
031601130503,1,1,0.0,0.0,0,0
031601130506,1,1,0.0,0.0,0,0
031601130507,1,1,0.0,0.0,0,0
031601130601,1,0,0.0,0.0,0,0
031601130602,2,1,25000.0,0.0,0,0
031601130704,1,1,4000.0,0.0,0,0
031601130705,1,1,0.0,0.0,0,0
031601130706,2,1,10000.0,0.0,0,0
031601130707,2,2,8000.0,0.0,0,0
031601130803,1,1,0.0,0.0,0,0
031602010101,1,1,0.0,0.0,0,0
031602010103,1,1,6000.0,0.0,0,0
031602010104,1,1,0.0,0.0,0,0
031602010401,1,1,3000.0,0.0,0,0
031602010408,2,1,0.0,0.0,0,0
031602010506,3,3,25000.0,0.0,0,0
031602010601,4,4,0.0,0.0,0,0
031602010703,2,2,1200000.0,0.0,0,1
031602010704,1,1,25000.0,0.0,0,0
031602010801,1,1,0.0,0.0,0,0
031602010803,1,1,0.0,0.0,0,0
031602010804,10,8,20000.0,0.0,1,0
031602010806,5,5,1900000.0,0.0,0,0
031602010807,1,1,75000.0,0.0,0,0
031602010904,5,5,0.0,0.0,0,0
031602010905,2,1,265000.0,0.0,0,0
031602010907,1,0,5000.0,0.0,0,0
031602010908,1,1,25000.0,0.0,0,0
031602020402,1,1,0.0,0.0,0,0
031602020404,1,1,0.0,0.0,0,0
031602020405,2,2,11000.0,0.0,0,0
031602020604,1,1,0.0,0.0,0,0
031602030101,2,2,0.0,0.0,0,0
031602030102,1,1,460000.0,0.0,0,0
031602030202,1,1,50000.0,0.0,0,0
031602030302,4,3,50000.0,0.0,0,0
031602030402,5,2,0.0,0.0,0,0
031602030403,1,1,0.0,0.0,0,0
031602030501,1,1,0.0,0.0,0,0
031602030602,9,8,75000.0,0.0,0,0
031602030603,1,1,25000.0,0.0,0,0
031602030604,3,3,110000.0,0.0,0,0
031602030605,6,5,0.0,0.0,0,0
031602030607,2,2,0.0,0.0,0,0
031602030701,1,1,25000.0,0.0,0,0
031602030702,3,3,0.0,0.0,0,0
031602030704,1,1,1200000.0,0.0,0,0
031602030901,3,3,775000.0,0.0,0,0
031602031002,3,3,15000.0,0.0,0,0
031602040101,3,3,0.0,0.0,0,0
031602040106,1,1,0.0,0.0,0,0
031602040201,1,1,0.0,0.0,0,0
031602040302,2,2,0.0,0.0,0,0
031602040304,9,9,80000.0,0.0,0,0
031602040305,2,2,25000.0,0.0,0,0
031602040402,6,5,6500000.0,0.0,0,0
031602040403,1,1,0.0,0.0,0,0
031602040501,7,7,260000.0,0.0,0,0
031602040502,2,1,0.0,0.0,0,0
031602040503,3,3,27012000.0,0.0,1,1
031602040504,19,17,115000.0,0.0,0,0
031602040505,10,9,0.0,0.0,0,0
031602050101,17,16,241000.0,0.0,0,0
031602050102,14,11,5000.0,0.0,0,0
031602050103,8,7,0.0,0.0,0,0
031602050104,9,8,0.0,0.0,0,0
031602050105,6,6,20000.0,0.0,0,0
031602050201,7,6,630000.0,0.0,0,0
031602050202,5,4,15000.0,0.0,0,0
031602050203,8,8,0.0,0.0,0,0
031602050204,19,15,125000.0,0.0,0,0
031602050205,12,7,375000.0,0.0,0,0
031602050206,10,8,0.0,0.0,0,0
031602050208,4,2,0.0,0.0,0,0
031602050300,1,1,0.0,0.0,0,0
031700020604,1,1,0.0,0.0,0,0
031700080102,1,1,25000.0,0.0,0,0
031700080103,1,1,0.0,0.0,0,0
031700080201,1,1,4000.0,0.0,0,0
031700080203,1,1,0.0,0.0,0,0
031700080303,1,1,0.0,0.0,0,0
031700080404,1,1,250000.0,0.0,0,0
031700080502,5,4,10000.0,0.0,0,0
031700080601,8,8,0.0,0.0,0,0
031700080602,9,7,5000.0,0.0,0,0
031700080701,5,4,0.0,0.0,0,0
031700080702,11,8,45000.0,0.0,0,0
031700090101,1,1,0.0,0.0,0,0
031700090102,7,7,0.0,0.0,0,0
031700090103,3,2,0.0,0.0,0,0
031700090201,2,2,230000.0,0.0,0,0
031700090202,3,3,0.0,0.0,0,0
060200011101,2,1,0.0,0.0,0,0
060300010201,2,1,0.0,0.0,0,0
060300010202,2,2,0.0,0.0,0,0
060300010203,2,1,75000.0,0.0,0,0
060300010304,1,1,0.0,0.0,0,0
060300010305,1,0,0.0,0.0,0,0
060300010306,1,1,0.0,0.0,0,0
060300010307,3,2,0.0,0.0,0,0
060300010404,3,0,0.0,0.0,0,0
