site_no,navigation_mode,distance_km,status,reach_count
02462600,UM,12,success,1
02462600,DM,12,success,4
02462800,UM,12,success,5
02462800,DM,12,success,4
02462951,UM,12,success,10
02462951,DM,12,success,12
02463500,UM,12,success,3
02463500,DM,12,success,4
02464000,UM,12,success,4
02464000,DM,12,success,4
02464146,UM,12,success,5
02464146,DM,12,success,8
02464360,UM,12,success,9
02464360,DM,12,success,14
02464500,UM,12,success,10
02464500,DM,12,success,7
02465000,UM,12,success,10
02465000,DM,12,success,6
02465200,UM,12,success,3
02465200,DM,12,success,10
02465205,UM,12,success,3
02465205,DM,12,success,11
02465292,UM,12,success,7
02465292,DM,12,success,6
02465493,UM,12,success,7
02465493,DM,12,success,4
02465500,UM,12,success,12
02465500,DM,12,success,12
02466000,UM,12,success,4
02466000,DM,12,success,5
02466030,UM,12,success,5
02466030,DM,12,success,4
02466500,UM,12,success,7
02466500,DM,12,success,7
02467000,UM,12,success,7
02467000,DM,12,success,7
02467500,UM,12,success,7
02467500,DM,12,success,9
02468000,UM,12,success,8
02468000,DM,12,success,8
02468500,UM,12,success,6
02468500,DM,12,success,12
02469000,UM,12,success,10
02469000,DM,12,success,9
02469550,UM,12,success,5
02469550,DM,12,success,7
02469672,UM,12,success,4
02469672,DM,12,success,8
02469700,UM,12,success,7
02469700,DM,12,success,6
02469761,UM,12,success,6
02469761,DM,12,success,6
02469766,UM,12,success,6
02469766,DM,12,success,6
02469800,UM,12,success,9
02469800,DM,12,success,7
02470000,UM,12,success,6
02470000,DM,12,success,7
02470072,UM,12,success,5
02470072,DM,12,success,8
02470100,UM,12,success,7
02470100,DM,12,success,9
02471000,UM,12,success,9
02471000,DM,12,success,5
02471001,UM,12,success,10
02471001,DM,12,success,3
02471065,UM,12,success,3
02471065,DM,12,success,6
02471078,UM,12,success,1
02471078,DM,12,success,3
02478500,UM,12,success,7
02478500,DM,12,success,8
02479431,UM,12,success,9
02479431,DM,12,success,6
02479500,UM,12,success,11
02479500,DM,12,success,8
02479560,UM,12,success,7
02479560,DM,12,success,8
02479600,UM,12,success,2
02479600,DM,12,success,2
02479945,UM,12,success,8
02479945,DM,12,success,10
02479980,UM,12,success,7
02479980,DM,12,success,3
02480002,UM,12,success,3
02480002,DM,12,success,9
02480150,UM,12,success,5
02480150,DM,12,success,14
03571850,UM,12,success,10
03571850,DM,12,success,11
03572110,UM,12,success,7
03572110,DM,12,success,7
03572690,UM,12,success,9
03572690,DM,12,success,14
03572900,UM,12,success,8
03572900,DM,12,success,13
03573000,UM,12,success,12
03573000,DM,12,success,12
03574100,UM,12,success,8
03574100,DM,12,success,7
03574500,UM,12,success,8
03574500,DM,12,success,5
03574700,UM,12,success,2
03574700,DM,12,success,11
03574796,UM,12,success,1
03574796,DM,12,success,7
0357479650,UM,12,success,9
0357479650,DM,12,success,9
03575000,UM,12,success,10
03575000,DM,12,success,15
03575100,UM,12,success,14
03575100,DM,12,success,10
0357526200,UM,12,success,2
0357526200,DM,12,success,8
03575272,UM,12,success,1
03575272,DM,12,success,7
03575340,UM,12,success,1
03575340,DM,12,success,14
03575500,UM,12,success,7
03575500,DM,12,success,9
0357568650,UM,12,success,1
0357568650,DM,12,success,7
0357568980,UM,12,success,5
0357568980,DM,12,success,4
03575700,UM,12,success,4
03575700,DM,12,success,5
03575830,UM,12,success,8
03575830,DM,12,success,6
0357586650,UM,12,success,3
0357586650,DM,12,success,5
0357587090,UM,12,success,1
0357587090,DM,12,success,8
0357587140,UM,12,success,2
0357587140,DM,12,success,9
0357587400,UM,12,success,5
0357587400,DM,12,success,7
0357587728,UM,12,success,1
0357587728,DM,12,success,5
03575890,UM,12,success,8
03575890,DM,12,success,5
0357591500,UM,12,success,1
0357591500,DM,12,success,5
03575933,UM,12,success,3
03575933,DM,12,success,4
03575950,UM,12,success,7
03575950,DM,12,success,7
03575980,UM,12,success,3
03575980,DM,12,success,3
03576148,UM,12,success,10
03576148,DM,12,success,11
03576250,UM,12,success,6
03576250,DM,12,success,5
03576400,UM,12,success,6
03576400,DM,12,success,10
03576500,UM,12,success,4
03576500,DM,12,success,6
03577000,UM,12,success,5
03577000,DM,12,success,9
03577110,UM,12,success,8
03577110,DM,12,success,21
03577225,UM,12,success,7
03577225,DM,12,success,9
03584500,UM,12,success,10
03584500,DM,12,success,18
03584600,UM,12,success,12
03584600,DM,12,success,15
03585300,UM,12,success,14
03585300,DM,12,success,10
03586500,UM,12,success,6
03586500,DM,12,success,4
03587200,UM,12,success,1
03587200,DM,12,success,10
03588500,UM,12,success,1
03588500,DM,12,success,10
03589250,UM,12,success,3
03589250,DM,12,success,7
03589260,UM,12,success,4
03589260,DM,12,success,11
03589500,UM,12,success,9
03589500,DM,12,success,8
03590000,UM,12,success,1
03590000,DM,12,success,1
03591570,UM,12,success,7
03591570,DM,12,success,10
03592000,UM,12,success,12
03592000,DM,12,success,12
03592200,UM,12,success,9
03592200,DM,12,success,8
03592300,UM,12,success,14
03592300,DM,12,success,11
03592500,UM,12,success,6
03592500,DM,12,success,10
